Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
CICIL suite,Chrome 70.0.3538.110,,2019-01-08 14:46:36,2019-01-08 14:47:06,29.788s,PASSED
,,,,,,
Test Cases/stagingbeta-login,Chrome 70.0.3538.110,,2019-01-08 14:46:36,2019-01-08 14:46:51,14.488s,PASSED
"openBrowser(""staging-beta.cicil.co.id"")",Chrome 70.0.3538.110,,2019-01-08 14:46:36,2019-01-08 14:46:46,10.007s,PASSED
maximizeWindow(),Chrome 70.0.3538.110,,2019-01-08 14:46:46,2019-01-08 14:46:48,1.149s,PASSED
"waitForElementPresent(findTestObject(""Page_CICIL_login/span_tutup""), 5)",Chrome 70.0.3538.110,,2019-01-08 14:46:48,2019-01-08 14:46:48,0.075s,PASSED
"click(findTestObject(""Page_CICIL_login/span_tutup""))",Chrome 70.0.3538.110,,2019-01-08 14:46:48,2019-01-08 14:46:48,0.096s,PASSED
Thread.sleep(1500),Chrome 70.0.3538.110,,2019-01-08 14:46:48,2019-01-08 14:46:49,1.508s,PASSED
"verifyElementNotVisible(findTestObject(""Page_CICIL_login/span_tutup""))",Chrome 70.0.3538.110,,2019-01-08 14:46:49,2019-01-08 14:46:49,0.050s,PASSED
"click(findTestObject(""Page_CICIL_login/a_Masuk""))",Chrome 70.0.3538.110,,2019-01-08 14:46:49,2019-01-08 14:46:49,0.097s,PASSED
"waitForElementPresent(findTestObject(""Page_CICIL_login/input_username""), 10)",Chrome 70.0.3538.110,,2019-01-08 14:46:49,2019-01-08 14:46:50,0.549s,PASSED
"setText(findTestObject(""Page_CICIL_login/input_username""), varEmail)",Chrome 70.0.3538.110,,2019-01-08 14:46:50,2019-01-08 14:46:50,0.222s,PASSED
"setText(findTestObject(""Page_CICIL_login/input_password""), varPass)",Chrome 70.0.3538.110,,2019-01-08 14:46:50,2019-01-08 14:46:50,0.162s,PASSED
"click(findTestObject(""Page_CICIL_login/button_Masuk""))",Chrome 70.0.3538.110,,2019-01-08 14:46:50,2019-01-08 14:46:50,0.127s,PASSED
println(varScope),Chrome 70.0.3538.110,,2019-01-08 14:46:50,2019-01-08 14:46:50,0.004s,PASSED
webUrl = getUrl(),Chrome 70.0.3538.110,,2019-01-08 14:46:50,2019-01-08 14:46:51,0.062s,PASSED
"println("">>> value webUrl: "" + webUrl)",Chrome 70.0.3538.110,,2019-01-08 14:46:51,2019-01-08 14:46:51,0.001s,PASSED
,,,,,,
Test Cases/stagingbeta-login,Chrome 70.0.3538.110,,2019-01-08 14:46:51,2019-01-08 14:47:05,14.160s,PASSED
"openBrowser(""staging-beta.cicil.co.id"")",Chrome 70.0.3538.110,,2019-01-08 14:46:51,2019-01-08 14:47:00,9.915s,PASSED
maximizeWindow(),Chrome 70.0.3538.110,,2019-01-08 14:47:00,2019-01-08 14:47:02,1.121s,PASSED
"waitForElementPresent(findTestObject(""Page_CICIL_login/span_tutup""), 5)",Chrome 70.0.3538.110,,2019-01-08 14:47:02,2019-01-08 14:47:02,0.047s,PASSED
"click(findTestObject(""Page_CICIL_login/span_tutup""))",Chrome 70.0.3538.110,,2019-01-08 14:47:02,2019-01-08 14:47:02,0.095s,PASSED
Thread.sleep(1500),Chrome 70.0.3538.110,,2019-01-08 14:47:02,2019-01-08 14:47:03,1.500s,PASSED
"verifyElementNotVisible(findTestObject(""Page_CICIL_login/span_tutup""))",Chrome 70.0.3538.110,,2019-01-08 14:47:03,2019-01-08 14:47:03,0.045s,PASSED
"click(findTestObject(""Page_CICIL_login/a_Masuk""))",Chrome 70.0.3538.110,,2019-01-08 14:47:03,2019-01-08 14:47:03,0.093s,PASSED
"waitForElementPresent(findTestObject(""Page_CICIL_login/input_username""), 10)",Chrome 70.0.3538.110,,2019-01-08 14:47:03,2019-01-08 14:47:04,0.623s,PASSED
"setText(findTestObject(""Page_CICIL_login/input_username""), varEmail)",Chrome 70.0.3538.110,,2019-01-08 14:47:04,2019-01-08 14:47:04,0.375s,PASSED
"setText(findTestObject(""Page_CICIL_login/input_password""), varPass)",Chrome 70.0.3538.110,,2019-01-08 14:47:04,2019-01-08 14:47:05,0.203s,PASSED
"click(findTestObject(""Page_CICIL_login/button_Masuk""))",Chrome 70.0.3538.110,,2019-01-08 14:47:05,2019-01-08 14:47:05,0.109s,PASSED
println(varScope),Chrome 70.0.3538.110,,2019-01-08 14:47:05,2019-01-08 14:47:05,0.000s,PASSED
webUrl = getUrl(),Chrome 70.0.3538.110,,2019-01-08 14:47:05,2019-01-08 14:47:05,0.017s,PASSED
"println("">>> value webUrl: "" + webUrl)",Chrome 70.0.3538.110,,2019-01-08 14:47:05,2019-01-08 14:47:05,0.001s,PASSED
