Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
CICIL suite,Chrome 70.0.3538.110,,2019-01-08 14:50:37,2019-01-08 14:51:14,37.117s,PASSED
,,,,,,
Test Cases/stagingbeta-login,Chrome 70.0.3538.110,,2019-01-08 14:50:37,2019-01-08 14:50:51,14.275s,PASSED
"openBrowser(""staging-beta.cicil.co.id"")",Chrome 70.0.3538.110,,2019-01-08 14:50:37,2019-01-08 14:50:47,9.807s,PASSED
maximizeWindow(),Chrome 70.0.3538.110,,2019-01-08 14:50:47,2019-01-08 14:50:48,1.163s,PASSED
"waitForElementVisible(findTestObject(""Page_CICIL_login/span_tutup""), 5)",Chrome 70.0.3538.110,,2019-01-08 14:50:48,2019-01-08 14:50:48,0.103s,PASSED
"click(findTestObject(""Page_CICIL_login/span_tutup""))",Chrome 70.0.3538.110,,2019-01-08 14:50:48,2019-01-08 14:50:48,0.095s,PASSED
Thread.sleep(1500),Chrome 70.0.3538.110,,2019-01-08 14:50:48,2019-01-08 14:50:50,1.507s,PASSED
"verifyElementNotVisible(findTestObject(""Page_CICIL_login/span_tutup""))",Chrome 70.0.3538.110,,2019-01-08 14:50:50,2019-01-08 14:50:50,0.039s,PASSED
"click(findTestObject(""Page_CICIL_login/a_Masuk""))",Chrome 70.0.3538.110,,2019-01-08 14:50:50,2019-01-08 14:50:50,0.094s,PASSED
"waitForElementPresent(findTestObject(""Page_CICIL_login/input_username""), 10)",Chrome 70.0.3538.110,,2019-01-08 14:50:50,2019-01-08 14:50:51,0.556s,PASSED
"setText(findTestObject(""Page_CICIL_login/input_username""), varEmail)",Chrome 70.0.3538.110,,2019-01-08 14:50:51,2019-01-08 14:50:51,0.203s,PASSED
"setText(findTestObject(""Page_CICIL_login/input_password""), varPass)",Chrome 70.0.3538.110,,2019-01-08 14:50:51,2019-01-08 14:50:51,0.155s,PASSED
"click(findTestObject(""Page_CICIL_login/button_Masuk""))",Chrome 70.0.3538.110,,2019-01-08 14:50:51,2019-01-08 14:50:51,0.137s,PASSED
webUrl = getUrl(),Chrome 70.0.3538.110,,2019-01-08 14:50:51,2019-01-08 14:50:51,0.048s,PASSED
"println("">>> value webUrl: "" + webUrl + "", scope: "" + varScope)",Chrome 70.0.3538.110,,2019-01-08 14:50:51,2019-01-08 14:50:51,0.004s,PASSED
,,,,,,
Test Cases/stagingbeta-login,Chrome 70.0.3538.110,,2019-01-08 14:50:51,2019-01-08 14:51:13,21.621s,PASSED
"openBrowser(""staging-beta.cicil.co.id"")",Chrome 70.0.3538.110,,2019-01-08 14:50:51,2019-01-08 14:51:09,17.650s,PASSED
maximizeWindow(),Chrome 70.0.3538.110,,2019-01-08 14:51:09,2019-01-08 14:51:10,1.147s,PASSED
"waitForElementVisible(findTestObject(""Page_CICIL_login/span_tutup""), 5)",Chrome 70.0.3538.110,,2019-01-08 14:51:10,2019-01-08 14:51:10,0.060s,PASSED
"click(findTestObject(""Page_CICIL_login/span_tutup""))",Chrome 70.0.3538.110,,2019-01-08 14:51:10,2019-01-08 14:51:10,0.072s,PASSED
Thread.sleep(1500),Chrome 70.0.3538.110,,2019-01-08 14:51:10,2019-01-08 14:51:12,1.501s,PASSED
"verifyElementNotVisible(findTestObject(""Page_CICIL_login/span_tutup""))",Chrome 70.0.3538.110,,2019-01-08 14:51:12,2019-01-08 14:51:12,0.052s,PASSED
"click(findTestObject(""Page_CICIL_login/a_Masuk""))",Chrome 70.0.3538.110,,2019-01-08 14:51:12,2019-01-08 14:51:12,0.074s,PASSED
"waitForElementPresent(findTestObject(""Page_CICIL_login/input_username""), 10)",Chrome 70.0.3538.110,,2019-01-08 14:51:12,2019-01-08 14:51:12,0.538s,PASSED
"setText(findTestObject(""Page_CICIL_login/input_username""), varEmail)",Chrome 70.0.3538.110,,2019-01-08 14:51:12,2019-01-08 14:51:13,0.254s,PASSED
"setText(findTestObject(""Page_CICIL_login/input_password""), varPass)",Chrome 70.0.3538.110,,2019-01-08 14:51:13,2019-01-08 14:51:13,0.118s,PASSED
"click(findTestObject(""Page_CICIL_login/button_Masuk""))",Chrome 70.0.3538.110,,2019-01-08 14:51:13,2019-01-08 14:51:13,0.115s,PASSED
webUrl = getUrl(),Chrome 70.0.3538.110,,2019-01-08 14:51:13,2019-01-08 14:51:13,0.024s,PASSED
"println("">>> value webUrl: "" + webUrl + "", scope: "" + varScope)",Chrome 70.0.3538.110,,2019-01-08 14:51:13,2019-01-08 14:51:13,0.001s,PASSED
