Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Basic SUite,Chrome 70.0.3538.110,test bikin suite,2019-01-04 15:38:38,2019-01-04 15:38:54,15.593s,PASSED
,,,,,,
Test Cases/Basic,Chrome 70.0.3538.110,,2019-01-04 15:38:39,2019-01-04 15:38:54,15.229s,PASSED
"openBrowser("""")",Chrome 70.0.3538.110,,2019-01-04 15:38:39,2019-01-04 15:38:43,3.919s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 70.0.3538.110,,2019-01-04 15:38:43,2019-01-04 15:38:47,3.622s,PASSED
Thread.sleep(2000),Chrome 70.0.3538.110,,2019-01-04 15:38:47,2019-01-04 15:38:49,2.030s,PASSED
maximizeWindow(),Chrome 70.0.3538.110,,2019-01-04 15:38:49,2019-01-04 15:38:50,1.261s,PASSED
"click(findTestObject(""Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 70.0.3538.110,,2019-01-04 15:38:50,2019-01-04 15:38:51,0.632s,PASSED
"setText(findTestObject(""Page_CURA Healthcare Service/input_Username_username""), varUsername)",Chrome 70.0.3538.110,,2019-01-04 15:38:51,2019-01-04 15:38:51,0.181s,PASSED
"setEncryptedText(findTestObject(""Page_CURA Healthcare Service/input_Password_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Chrome 70.0.3538.110,,2019-01-04 15:38:51,2019-01-04 15:38:51,0.239s,PASSED
"click(findTestObject(""Page_CURA Healthcare Service/button_Login""))",Chrome 70.0.3538.110,,2019-01-04 15:38:51,2019-01-04 15:38:52,0.739s,PASSED
"click(findTestObject(""Page_CURA Healthcare Service/label_Apply for hospital readm""))",Chrome 70.0.3538.110,,2019-01-04 15:38:52,2019-01-04 15:38:52,0.165s,PASSED
"click(findTestObject(""Page_CURA Healthcare Service/div_Visit Date (Required)_inpu""))",Chrome 70.0.3538.110,,2019-01-04 15:38:52,2019-01-04 15:38:52,0.149s,PASSED
"click(findTestObject(""Page_CURA Healthcare Service/td_24""))",Chrome 70.0.3538.110,,2019-01-04 15:38:52,2019-01-04 15:38:52,0.126s,PASSED
"setText(findTestObject(""Page_CURA Healthcare Service/textarea_Comment_comment""), ""thus is comment"")",Chrome 70.0.3538.110,,2019-01-04 15:38:52,2019-01-04 15:38:52,0.155s,PASSED
"click(findTestObject(""Page_CURA Healthcare Service/button_Book Appointment""))",Chrome 70.0.3538.110,,2019-01-04 15:38:52,2019-01-04 15:38:53,0.397s,PASSED
"click(findTestObject(""Page_CURA Healthcare Service/a_Go to Homepage""))",Chrome 70.0.3538.110,,2019-01-04 15:38:53,2019-01-04 15:38:53,0.555s,PASSED
closeBrowser(),Chrome 70.0.3538.110,,2019-01-04 15:38:53,2019-01-04 15:38:54,0.699s,PASSED
