Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Basic SUite,Chrome 70.0.3538.110,test bikin suite,2019-01-03 13:47:03,2019-01-03 13:47:33,29.729s,PASSED
,,,,,,
Test Cases/Basic,Chrome 70.0.3538.110,,2019-01-03 13:47:03,2019-01-03 13:47:32,29.315s,PASSED
"openBrowser("""")",Chrome 70.0.3538.110,,2019-01-03 13:47:04,2019-01-03 13:47:07,3.828s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 70.0.3538.110,,2019-01-03 13:47:07,2019-01-03 13:47:21,13.764s,PASSED
Thread.sleep(2000),Chrome 70.0.3538.110,,2019-01-03 13:47:21,2019-01-03 13:47:23,2.004s,PASSED
maximizeWindow(),Chrome 70.0.3538.110,,2019-01-03 13:47:23,2019-01-03 13:47:24,1.207s,PASSED
"click(findTestObject(""Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 70.0.3538.110,,2019-01-03 13:47:24,2019-01-03 13:47:27,2.203s,PASSED
"setText(findTestObject(""Page_CURA Healthcare Service/input_Username_username""), ""John Doe"")",Chrome 70.0.3538.110,,2019-01-03 13:47:27,2019-01-03 13:47:27,0.181s,PASSED
"setEncryptedText(findTestObject(""Page_CURA Healthcare Service/input_Password_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Chrome 70.0.3538.110,,2019-01-03 13:47:27,2019-01-03 13:47:27,0.226s,PASSED
"click(findTestObject(""Page_CURA Healthcare Service/button_Login""))",Chrome 70.0.3538.110,,2019-01-03 13:47:27,2019-01-03 13:47:29,2.064s,PASSED
"click(findTestObject(""Page_CURA Healthcare Service/label_Apply for hospital readm""))",Chrome 70.0.3538.110,,2019-01-03 13:47:29,2019-01-03 13:47:29,0.178s,PASSED
"click(findTestObject(""Page_CURA Healthcare Service/div_Visit Date (Required)_inpu""))",Chrome 70.0.3538.110,,2019-01-03 13:47:29,2019-01-03 13:47:29,0.122s,PASSED
"click(findTestObject(""Page_CURA Healthcare Service/td_24""))",Chrome 70.0.3538.110,,2019-01-03 13:47:29,2019-01-03 13:47:29,0.093s,PASSED
"setText(findTestObject(""Page_CURA Healthcare Service/textarea_Comment_comment""), ""thus is comment"")",Chrome 70.0.3538.110,,2019-01-03 13:47:29,2019-01-03 13:47:30,0.154s,PASSED
"click(findTestObject(""Page_CURA Healthcare Service/button_Book Appointment""))",Chrome 70.0.3538.110,,2019-01-03 13:47:30,2019-01-03 13:47:30,0.515s,PASSED
"click(findTestObject(""Page_CURA Healthcare Service/a_Go to Homepage""))",Chrome 70.0.3538.110,,2019-01-03 13:47:30,2019-01-03 13:47:32,1.819s,PASSED
closeBrowser(),Chrome 70.0.3538.110,,2019-01-03 13:47:32,2019-01-03 13:47:32,0.596s,PASSED
