Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Basic SUite,Chrome 70.0.3538.110,test bikin suite,2019-01-03 14:05:21,2019-01-03 14:05:36,15.674s,PASSED
,,,,,,
Test Cases/Basic,Chrome 70.0.3538.110,,2019-01-03 14:05:21,2019-01-03 14:05:36,15.268s,PASSED
"openBrowser("""")",Chrome 70.0.3538.110,,2019-01-03 14:05:21,2019-01-03 14:05:25,3.667s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 70.0.3538.110,,2019-01-03 14:05:25,2019-01-03 14:05:29,4.097s,PASSED
Thread.sleep(2000),Chrome 70.0.3538.110,,2019-01-03 14:05:29,2019-01-03 14:05:31,2.026s,PASSED
maximizeWindow(),Chrome 70.0.3538.110,,2019-01-03 14:05:31,2019-01-03 14:05:32,1.254s,PASSED
"click(findTestObject(""Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 70.0.3538.110,,2019-01-03 14:05:32,2019-01-03 14:05:33,0.673s,PASSED
"setText(findTestObject(""Page_CURA Healthcare Service/input_Username_username""), ""John Doe"")",Chrome 70.0.3538.110,,2019-01-03 14:05:33,2019-01-03 14:05:33,0.142s,PASSED
"setEncryptedText(findTestObject(""Page_CURA Healthcare Service/input_Password_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Chrome 70.0.3538.110,,2019-01-03 14:05:33,2019-01-03 14:05:33,0.204s,PASSED
"click(findTestObject(""Page_CURA Healthcare Service/button_Login""))",Chrome 70.0.3538.110,,2019-01-03 14:05:33,2019-01-03 14:05:34,0.813s,PASSED
"click(findTestObject(""Page_CURA Healthcare Service/label_Apply for hospital readm""))",Chrome 70.0.3538.110,,2019-01-03 14:05:34,2019-01-03 14:05:34,0.106s,PASSED
"click(findTestObject(""Page_CURA Healthcare Service/div_Visit Date (Required)_inpu""))",Chrome 70.0.3538.110,,2019-01-03 14:05:34,2019-01-03 14:05:34,0.123s,PASSED
"click(findTestObject(""Page_CURA Healthcare Service/td_24""))",Chrome 70.0.3538.110,,2019-01-03 14:05:34,2019-01-03 14:05:34,0.082s,PASSED
"setText(findTestObject(""Page_CURA Healthcare Service/textarea_Comment_comment""), ""thus is comment"")",Chrome 70.0.3538.110,,2019-01-03 14:05:34,2019-01-03 14:05:35,0.129s,PASSED
"click(findTestObject(""Page_CURA Healthcare Service/button_Book Appointment""))",Chrome 70.0.3538.110,,2019-01-03 14:05:35,2019-01-03 14:05:35,0.518s,PASSED
"click(findTestObject(""Page_CURA Healthcare Service/a_Go to Homepage""))",Chrome 70.0.3538.110,,2019-01-03 14:05:35,2019-01-03 14:05:36,0.529s,PASSED
closeBrowser(),Chrome 70.0.3538.110,,2019-01-03 14:05:36,2019-01-03 14:05:36,0.589s,PASSED
