Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
CICIL suite,Chrome 70.0.3538.110,,2019-01-08 14:53:53,2019-01-08 14:54:51,57.337s,PASSED
,,,,,,
Test Cases/stagingbeta-login,Chrome 70.0.3538.110,,2019-01-08 14:53:54,2019-01-08 14:54:23,28.939s,PASSED
"openBrowser(""staging-beta.cicil.co.id"")",Chrome 70.0.3538.110,,2019-01-08 14:53:54,2019-01-08 14:54:12,17.521s,PASSED
maximizeWindow(),Chrome 70.0.3538.110,,2019-01-08 14:54:12,2019-01-08 14:54:13,1.150s,PASSED
"waitForElementVisible(findTestObject(""Page_CICIL_login/span_tutup""), 5)",Chrome 70.0.3538.110,,2019-01-08 14:54:13,2019-01-08 14:54:13,0.099s,PASSED
"click(findTestObject(""Page_CICIL_login/span_tutup""))",Chrome 70.0.3538.110,,2019-01-08 14:54:13,2019-01-08 14:54:13,0.091s,PASSED
Thread.sleep(1500),Chrome 70.0.3538.110,,2019-01-08 14:54:13,2019-01-08 14:54:14,1.507s,PASSED
"verifyElementNotVisible(findTestObject(""Page_CICIL_login/span_tutup""))",Chrome 70.0.3538.110,,2019-01-08 14:54:14,2019-01-08 14:54:15,0.059s,PASSED
"click(findTestObject(""Page_CICIL_login/a_Masuk""))",Chrome 70.0.3538.110,,2019-01-08 14:54:15,2019-01-08 14:54:15,0.074s,PASSED
"waitForElementPresent(findTestObject(""Page_CICIL_login/input_username""), 10)",Chrome 70.0.3538.110,,2019-01-08 14:54:15,2019-01-08 14:54:15,0.550s,PASSED
"setText(findTestObject(""Page_CICIL_login/input_username""), varEmail)",Chrome 70.0.3538.110,,2019-01-08 14:54:15,2019-01-08 14:54:15,0.211s,PASSED
"setText(findTestObject(""Page_CICIL_login/input_password""), varPass)",Chrome 70.0.3538.110,,2019-01-08 14:54:15,2019-01-08 14:54:16,0.147s,PASSED
"click(findTestObject(""Page_CICIL_login/button_Masuk""))",Chrome 70.0.3538.110,,2019-01-08 14:54:16,2019-01-08 14:54:16,0.144s,PASSED
"println(""going to sleep"")",Chrome 70.0.3538.110,,2019-01-08 14:54:16,2019-01-08 14:54:16,0.003s,PASSED
Thread.sleep(7000),Chrome 70.0.3538.110,,2019-01-08 14:54:16,2019-01-08 14:54:23,7.004s,PASSED
"println(""i am awake"")",Chrome 70.0.3538.110,,2019-01-08 14:54:23,2019-01-08 14:54:23,0.005s,PASSED
webUrl = getUrl(),Chrome 70.0.3538.110,,2019-01-08 14:54:23,2019-01-08 14:54:23,0.040s,PASSED
"println("">>> value webUrl: "" + webUrl + "", scope: "" + varScope)",Chrome 70.0.3538.110,,2019-01-08 14:54:23,2019-01-08 14:54:23,0.001s,PASSED
,,,,,,
Test Cases/stagingbeta-login,Chrome 70.0.3538.110,,2019-01-08 14:54:23,2019-01-08 14:54:50,27.203s,PASSED
"openBrowser(""staging-beta.cicil.co.id"")",Chrome 70.0.3538.110,,2019-01-08 14:54:23,2019-01-08 14:54:39,16.162s,PASSED
maximizeWindow(),Chrome 70.0.3538.110,,2019-01-08 14:54:39,2019-01-08 14:54:40,1.128s,PASSED
"waitForElementVisible(findTestObject(""Page_CICIL_login/span_tutup""), 5)",Chrome 70.0.3538.110,,2019-01-08 14:54:40,2019-01-08 14:54:40,0.042s,PASSED
"click(findTestObject(""Page_CICIL_login/span_tutup""))",Chrome 70.0.3538.110,,2019-01-08 14:54:40,2019-01-08 14:54:40,0.089s,PASSED
Thread.sleep(1500),Chrome 70.0.3538.110,,2019-01-08 14:54:40,2019-01-08 14:54:42,1.503s,PASSED
"verifyElementNotVisible(findTestObject(""Page_CICIL_login/span_tutup""))",Chrome 70.0.3538.110,,2019-01-08 14:54:42,2019-01-08 14:54:42,0.069s,PASSED
"click(findTestObject(""Page_CICIL_login/a_Masuk""))",Chrome 70.0.3538.110,,2019-01-08 14:54:42,2019-01-08 14:54:42,0.083s,PASSED
"waitForElementPresent(findTestObject(""Page_CICIL_login/input_username""), 10)",Chrome 70.0.3538.110,,2019-01-08 14:54:42,2019-01-08 14:54:42,0.545s,PASSED
"setText(findTestObject(""Page_CICIL_login/input_username""), varEmail)",Chrome 70.0.3538.110,,2019-01-08 14:54:42,2019-01-08 14:54:43,0.287s,PASSED
"setText(findTestObject(""Page_CICIL_login/input_password""), varPass)",Chrome 70.0.3538.110,,2019-01-08 14:54:43,2019-01-08 14:54:43,0.141s,PASSED
"click(findTestObject(""Page_CICIL_login/button_Masuk""))",Chrome 70.0.3538.110,,2019-01-08 14:54:43,2019-01-08 14:54:43,0.090s,PASSED
"println(""going to sleep"")",Chrome 70.0.3538.110,,2019-01-08 14:54:43,2019-01-08 14:54:43,0.000s,PASSED
Thread.sleep(7000),Chrome 70.0.3538.110,,2019-01-08 14:54:43,2019-01-08 14:54:50,7.002s,PASSED
"println(""i am awake"")",Chrome 70.0.3538.110,,2019-01-08 14:54:50,2019-01-08 14:54:50,0.004s,PASSED
webUrl = getUrl(),Chrome 70.0.3538.110,,2019-01-08 14:54:50,2019-01-08 14:54:50,0.034s,PASSED
"println("">>> value webUrl: "" + webUrl + "", scope: "" + varScope)",Chrome 70.0.3538.110,,2019-01-08 14:54:50,2019-01-08 14:54:50,0.003s,PASSED
