Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
CICIL suite,Chrome 70.0.3538.110,,2019-01-08 14:40:22,2019-01-08 14:40:54,31.660s,FAILED
,,,,,,
Test Cases/stagingbeta-login,Chrome 70.0.3538.110,,2019-01-08 14:40:23,2019-01-08 14:40:40,17.181s,PASSED
"openBrowser(""staging-beta.cicil.co.id"")",Chrome 70.0.3538.110,,2019-01-08 14:40:23,2019-01-08 14:40:37,14.095s,PASSED
maximizeWindow(),Chrome 70.0.3538.110,,2019-01-08 14:40:37,2019-01-08 14:40:38,1.176s,PASSED
"waitForElementPresent(findTestObject(""Page_CICIL_login/span_tutup""), 5)",Chrome 70.0.3538.110,,2019-01-08 14:40:38,2019-01-08 14:40:38,0.143s,PASSED
"click(findTestObject(""Page_CICIL_login/span_tutup""))",Chrome 70.0.3538.110,,2019-01-08 14:40:38,2019-01-08 14:40:38,0.116s,PASSED
"verifyElementNotVisible(findTestObject(""Page_CICIL_login/span_tutup""))",Chrome 70.0.3538.110,,2019-01-08 14:40:38,2019-01-08 14:40:39,0.070s,PASSED
"click(findTestObject(""Page_CICIL_login/a_Masuk""))",Chrome 70.0.3538.110,,2019-01-08 14:40:39,2019-01-08 14:40:39,0.097s,PASSED
"waitForElementPresent(findTestObject(""Page_CICIL_login/input_username""), 10)",Chrome 70.0.3538.110,,2019-01-08 14:40:39,2019-01-08 14:40:39,0.565s,PASSED
"setText(findTestObject(""Page_CICIL_login/input_username""), varEmail)",Chrome 70.0.3538.110,,2019-01-08 14:40:39,2019-01-08 14:40:39,0.221s,PASSED
"setText(findTestObject(""Page_CICIL_login/input_password""), varPass)",Chrome 70.0.3538.110,,2019-01-08 14:40:39,2019-01-08 14:40:40,0.158s,PASSED
"click(findTestObject(""Page_CICIL_login/button_Masuk""))",Chrome 70.0.3538.110,,2019-01-08 14:40:40,2019-01-08 14:40:40,0.123s,PASSED
println(varScope),Chrome 70.0.3538.110,,2019-01-08 14:40:40,2019-01-08 14:40:40,0.004s,PASSED
webUrl = getUrl(),Chrome 70.0.3538.110,,2019-01-08 14:40:40,2019-01-08 14:40:40,0.051s,PASSED
println(webUrl),Chrome 70.0.3538.110,,2019-01-08 14:40:40,2019-01-08 14:40:40,0.001s,PASSED
,,,,,,
Test Cases/stagingbeta-login,Chrome 70.0.3538.110,,2019-01-08 14:40:40,2019-01-08 14:40:53,13.430s,FAILED
"openBrowser(""staging-beta.cicil.co.id"")",Chrome 70.0.3538.110,,2019-01-08 14:40:40,2019-01-08 14:40:50,9.996s,PASSED
maximizeWindow(),Chrome 70.0.3538.110,,2019-01-08 14:40:50,2019-01-08 14:40:51,1.126s,PASSED
"waitForElementPresent(findTestObject(""Page_CICIL_login/span_tutup""), 5)",Chrome 70.0.3538.110,,2019-01-08 14:40:51,2019-01-08 14:40:51,0.042s,PASSED
"click(findTestObject(""Page_CICIL_login/span_tutup""))",Chrome 70.0.3538.110,,2019-01-08 14:40:51,2019-01-08 14:40:51,0.099s,PASSED
"verifyElementNotVisible(findTestObject(""Page_CICIL_login/span_tutup""))",Chrome 70.0.3538.110,,2019-01-08 14:40:51,2019-01-08 14:40:53,2.148s,FAILED
