Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
CICIL suite,Chrome 70.0.3538.110,,2019-01-08 14:56:40,2019-01-08 14:57:21,40.857s,PASSED
,,,,,,
Test Cases/stagingbeta-login,Chrome 70.0.3538.110,,2019-01-08 14:56:40,2019-01-08 14:57:01,20.125s,PASSED
"openBrowser(""staging-beta.cicil.co.id"")",Chrome 70.0.3538.110,,2019-01-08 14:56:41,2019-01-08 14:56:49,8.671s,PASSED
maximizeWindow(),Chrome 70.0.3538.110,,2019-01-08 14:56:49,2019-01-08 14:56:51,1.163s,PASSED
"waitForElementVisible(findTestObject(""Page_CICIL_login/span_tutup""), 5)",Chrome 70.0.3538.110,,2019-01-08 14:56:51,2019-01-08 14:56:51,0.112s,PASSED
"click(findTestObject(""Page_CICIL_login/span_tutup""))",Chrome 70.0.3538.110,,2019-01-08 14:56:51,2019-01-08 14:56:51,0.082s,PASSED
Thread.sleep(1500),Chrome 70.0.3538.110,,2019-01-08 14:56:51,2019-01-08 14:56:52,1.505s,PASSED
"verifyElementNotVisible(findTestObject(""Page_CICIL_login/span_tutup""))",Chrome 70.0.3538.110,,2019-01-08 14:56:52,2019-01-08 14:56:52,0.038s,PASSED
"click(findTestObject(""Page_CICIL_login/a_Masuk""))",Chrome 70.0.3538.110,,2019-01-08 14:56:52,2019-01-08 14:56:52,0.100s,PASSED
"waitForElementPresent(findTestObject(""Page_CICIL_login/input_username""), 10)",Chrome 70.0.3538.110,,2019-01-08 14:56:52,2019-01-08 14:56:53,0.547s,PASSED
"setText(findTestObject(""Page_CICIL_login/input_username""), varEmail)",Chrome 70.0.3538.110,,2019-01-08 14:56:53,2019-01-08 14:56:53,0.226s,PASSED
"setText(findTestObject(""Page_CICIL_login/input_password""), varPass)",Chrome 70.0.3538.110,,2019-01-08 14:56:53,2019-01-08 14:56:53,0.168s,PASSED
"click(findTestObject(""Page_CICIL_login/button_Masuk""))",Chrome 70.0.3538.110,,2019-01-08 14:56:53,2019-01-08 14:56:53,0.115s,PASSED
"if (varScope == ""admin"")",Chrome 70.0.3538.110,,2019-01-08 14:56:53,2019-01-08 14:56:53,0.004s,PASSED
"println(""going to sleep"")",Chrome 70.0.3538.110,,2019-01-08 14:56:53,2019-01-08 14:56:53,0.003s,PASSED
Thread.sleep(7000),Chrome 70.0.3538.110,,2019-01-08 14:56:53,2019-01-08 14:57:00,7.008s,PASSED
"println(""i am awake"")",Chrome 70.0.3538.110,,2019-01-08 14:57:00,2019-01-08 14:57:00,0.004s,PASSED
webUrl = getUrl(),Chrome 70.0.3538.110,,2019-01-08 14:57:01,2019-01-08 14:57:01,0.029s,PASSED
"println("">>> value webUrl: "" + webUrl + "", scope: "" + varScope)",Chrome 70.0.3538.110,,2019-01-08 14:57:01,2019-01-08 14:57:01,0.001s,PASSED
,,,,,,
